mom,cheia,nino12,nino3,nino34,nino4,precacum,tmaxmed,tminmed
12/1987,19.67,23.54,26.34,27.63,27.63,195.2,31.893548,24.445161
1/1988,21.51,24.85,26.51,27.5,27.5,269.7,30.656667,22.386667
2/1988,23.4,25.83,26.6,27.11,27.11,546.0,30.844828,23.324138
3/1988,24.81,25.86,27.24,27.4,27.4,265.6,31.567742,23.787097
4/1988,25.17,25.08,27.19,27.53,27.53,254.7,30.893333,23.47
5/1988,26.56,23.69,26.13,26.96,26.96,297.7,30.432258,23.732258
6/1988,27.56,21.87,24.89,26.27,26.27,229.1,29.93,22.696667
7/1988,27.53,20.73,24.03,25.75,25.75,82.3,31.248387,23.280645
8/1988,25.98,19.81,23.8,25.73,25.73,35.6,32.887097,23.658065
9/1988,21.43,19.73,24.01,25.8,25.8,110.6,33.27,24.0
10/1988,18.09,20.01,23.63,25.01,25.01,111.5,32.890323,23.577419
11/1988,18.76,20.94,23.66,24.84,24.84,226.9,31.731818,22.603333
12/1988,21.33,22.22,23.85,24.88,24.88,412.1,31.570968,22.712903
1/1989,22.11,24.29,24.43,24.81,24.81,292.0,30.474194,22.625806
2/1989,24.16,25.98,25.58,25.43,25.43,417.0,28325,22.560714
3/1989,26.09,26.31,26.31,26.2,26.2,252.2,29.86129,22.435484
4/1989,27.4,25.39,26.8,26.79,26.79,370.8,29.883333,23.17
5/1989,28.27,23.46,26.58,27.19,27.19,555.1,29.312903,22.667742
6/1989,29.18,22.21,26.4,27.21,27.21,184.5,30.15,22.77
7/1989,29.24,21.36,25.44,26.86,26.86,157.5,29.348387,22.187097
8/1989,28.16,20.74,24.84,26.47,26.47,15.8,32.332258,23.46129
9/1989,25.55,20.18,24.76,26.5,26.5,136.4,32.686667,23.333333
10/1989,21.55,20.72,24.69,26.41,26.41,185.6,31.612903,23.280645
11/1989,21.74,21.62,24.67,26.32,26.32,326.4,31.823333,23.516667
12/1989,20.83,22.64,24.95,26.61,26.61,220.1,31.663333,24.034483
1/1990,18.9,24.27,25.49,26.68,26.68,234.3,30.525806,23.122581
2/1990,22.41,26.2,26.52,27.0,27.0,190.0,30.307143,23.114286
3/1990,24.92,26.27,26.98,27.37,27.37,299.2,30.548387,23.070968
4/1990,26.3,25.12,27.53,27.89,27.89,236.4,30.343333,22.91
5/1990,27.56,24.07,27.44,28.05,28.05,244.6,31.2,23.33871
6/1990,28.16,22.78,26.67,27.72,27.72,89.3,31.296667,23.236667
7/1990,27.78,21.4,25.9,27.51,27.51,114.1,,
8/1990,26.49,20.71,25.3,27.12,27.12,72.3,,
9/1990,23.27,20.15,25.16,27.03,27.03,22.8,,
10/1990,18.2,20.43,24.99,27.08,27.08,56.0,,
11/1990,17.35,21.32,25.02,26.89,26.89,116.9,,
12/1990,20.42,22.73,25.28,27.04,27.04,167.3,,
1/1991,22.97,24.31,25.84,27.12,27.12,278.5,29.951613,23.025806
2/1991,23.6,25.97,26.44,27.18,27.18,223.8,30.603571,23.335714
3/1991,23.79,26.44,27.11,27.44,27.44,309.2,29.964516,23.119355
4/1991,25.35,25.45,27.65,28.13,28.13,342.9,30.506667,22.79
5/1991,26.93,24.23,27.57,28.29,28.29,322.2,30.241935,23.135484
6/1991,27.88,23.12,27.28,28.27,28.27,137.9,30.84,23.546667
7/1991,27.97,22.52,26.66,28.09,28.09,173.9,30.854839,23.032258
8/1991,26.91,21.46,25.82,27.72,27.72,55.4,31.72,22912
9/1991,23.41,21.36,25.36,27.35,27.35,39.0,32.536667,23.27
10/1991,18.41,21.72,25.69,27.71,27.71,79.4,32.812903,23.63871
11/1991,16.63,22.42,26.08,27.98,27.98,37.9,33.723333,24.183333
12/1991,18.25,23.72,26.46,28.29,28.29,137.9,32.06129,24.158065
1/1992,19.04,25.15,26.98,28.4,28.4,236.5,32.051613,23.880645
2/1992,19.56,26.87,27.57,28.52,28.52,262.7,31.227586,23.544828
3/1992,21.34,27.61,28.16,28.65,28.65,347.8,30.354839,23.06129
4/1992,24.23,27.38,28.67,29.04,29.04,218.6,31.47,23.65
5/1992,25.28,26.33,28.39,29.0,29.0,118.8,32.16129,23.690323
6/1992,25.06,24.05,27.29,28.51,28.51,61.0,32.083333,23.17
7/1992,23.81,22.18,25.91,27.76,27.76,90.3,31.587097,22.477419
8/1992,22.07,21.08,25.22,27.1,27.1,100.3,31.26129,22.229032
9/1992,20.34,21.05,24.99,26.86,26.86,90.0,33.04,23.653333
10/1992,18.79,21.27,24.88,26.67,26.67,87.4,32.483871,23.56129
11/1992,17.84,21.78,24.92,26.68,26.68,71.2,32.226667,23.69
12/1992,20.06,22.95,25.16,26.75,26.75,265.6,30.306452,22.867742
1/1993,22.72,24.68,25.7,26.87,26.87,436.5,30.248387,22.754839
2/1993,24.06,26.42,26.87,27.24,27.24,617.4,29.889286,22425
3/1993,25.51,26.88,27.64,27.78,27.78,229.3,30.103226,22.73871
4/1993,27.24,26.6,28.43,28.62,28.62,370.3,30.176667,22.893333
5/1993,28.25,25.44,28.31,28.87,28.87,96.8,31.248387,23.251613
6/1993,28.7,24.07,27.12,28.28,28.28,61.5,31.37,23.276667
7/1993,28.16,22.69,26.08,27.59,27.59,34.6,31.390323,22.793548
8/1993,26.28,21.52,25.36,27.03,27.03,47.7,31.751613,22.945161
9/1993,23.3,21.05,25.25,27.19,27.19,21.9,33.236667,23.86
10/1993,20.39,21.58,25.28,27.03,27.03,99.8,32.222581,23.312903
11/1993,20.43,22.1,25.23,26.89,26.89,256.3,31.153333,23.143333
12/1993,22.95,23.14,25.44,26.93,26.93,251.3,30.954839,23.109677
1/1994,24.28,24.64,25.96,26.86,26.86,371.1,29.9,22.490323
2/1994,25.2,25.93,26.46,27.0,27.0,399.5,29.753571,22.685714
3/1994,26.1,25.83,26.98,27.49,27.49,259.5,30.587097,23.067742
4/1994,27.11,24.82,27.38,28.17,28.17,258.7,30.72,23.036667
5/1994,28.12,23.79,27.27,28.36,28.36,174.2,30.622581,23.0
6/1994,28.93,22.53,26.62,28.08,28.08,125.2,30.226667,22.746667
7/1994,28.81,21.39,25.65,27.64,27.64,33.0,31.245161,22.858065
8/1994,27.5,20.37,25.03,27.44,27.44,96.7,32.322581,22.887097
9/1994,25.28,20.6,24.97,27.13,27.13,62.6,32.816667,23.65
10/1994,22.11,21.79,25.54,27.44,27.44,91.8,33.080645,23.703226
11/1994,19.68,22.32,25.98,27.87,27.87,207.3,32.753333,23.416667
12/1994,20.34,23.77,26.16,27.94,27.94,222.5,31.219355,23.151613
1/1995,21.88,25.39,26.52,27.68,27.68,286.0,31.019355,22.99375
2/1995,21.96,26.22,26.92,27.58,27.58,132.0,30.971429,23.496429
3/1995,22.35,26.2,27.23,27.8,27.8,301.4,31.096774,23.03871
4/1995,24.09,24.77,27.33,28.17,28.17,480.5,30.593333,22.94
5/1995,25.86,23.6,26.81,28.0,28.0,217.5,30.770968,23.164516
6/1995,26.99,22.53,26.36,27.77,27.77,107.0,30.846667,23.153333
7/1995,26.87,21.37,25.5,27.2,27.2,76.9,32.322581,23.545161
8/1995,24.75,20.61,24.46,26.5,26.5,34.2,33.532258,24.393548
9/1995,18.76,20.48,24.11,26.11,26.11,72.4,33.6,24.443333
10/1995,15.56,20.61,24.22,25.96,25.96,81.0,33.509677,24.235484
11/1995,16.4,21.63,24.23,25.79,25.79,312.0,31.273333,23.34
12/1995,19.92,22.28,24.42,25.82,25.82,160.5,31.480645,23.319355
1/1996,21.85,24.02,25.03,25.87,25.87,571.3,29.941935,22.606452
2/1996,23.35,25.77,25.85,26.07,26.07,257.6,30.224138,22.827586
3/1996,25.44,26.32,26.86,26.76,26.76,338.1,30.635484,23.13871
4/1996,26.63,24.33,27.0,27.52,27.52,428.5,30.05,23.08
5/1996,27.6,23.42,26.71,27.75,27.75,127.5,30.916129,23.532258
6/1996,28.45,21.69,26.05,27.54,27.54,185.1,30.593333,22.373333
7/1996,28.18,21.0,25.39,27.1,27.1,16.9,31.6,22.774194
8/1996,26.54,20.24,24.89,26.79,26.79,65.0,32.122581,23.383871
9/1996,23.15,20.29,24.62,26.5,26.5,114.0,33.056667,23.926667
10/1996,19.43,20.52,24.58,26.48,26.48,186.0,32.570968,23.870968
11/1996,19.58,20.76,24.65,26.42,26.42,163.0,32.346667,23.71
12/1996,20.67,21.9,24.43,26.15,26.15,142.2,31.36129,23.558065
1/1997,21.76,23.94,24.97,26.16,26.16,220.6,30.180645,23.267742
2/1997,22.82,26.16,25.83,26.49,26.49,344.5,30.042857,22.892857
3/1997,25.06,27.07,26.91,27.03,27.03,534.9,29.893548,23.012903
4/1997,27.08,26.5,27.53,28.01,28.01,310.8,30.673333,23.486667
5/1997,28.33,26.4,27.9,28.52,28.52,252.2,30.925806,23.706452
6/1997,28.83,25.92,28.02,28.82,28.82,9.5,32.146667,24.2
7/1997,27.75,25.36,27.74,28.75,28.75,0.0,33.3,24.554839
8/1997,25.34,24.7,27.59,28.7,28.7,111.5,32.993548,23.690323
9/1997,20.06,24.52,27.65,28.85,28.85,40.5,35.2,24.423333
10/1997,15.35,24.67,28.01,29.08,29.08,60.9,35.83871,24.758065
11/1997,15.15,25.76,28.29,29.11,29.11,182.3,33.153333,23.956667
12/1997,17.76,27.02,28.44,28.96,28.96,261.5,32.096774,23.790323
1/1998,20.03,28.01,28.67,28.93,28.93,302.6,31.3,23.174194
2/1998,21.14,28.83,28.82,28.77,28.77,171.7,32.271429,23.553571
3/1998,22.41,29.12,29.15,28.68,28.68,210.8,31.493548,23.096774
4/1998,24.02,28.23,29.24,28.72,28.72,407.2,31.296667,22.43
5/1998,26.2,27.18,28.68,28.63,28.63,273.4,31.019355,22.490323
6/1998,27.32,25.33,27.11,27.57,27.57,167.2,31.276667,21.903333
7/1998,27.4,23.41,25.71,26.55,26.55,92.0,31.945161,22.225806
8/1998,25.55,22.11,24.76,25.82,25.82,41.8,33.087097,22.016129
9/1998,20.83,21.25,24.24,25.72,25.72,115.6,32.793333,21.886667
10/1998,16.26,21.56,24.36,25.55,25.55,73.5,33.306452,22.516129
11/1998,16.98,21.64,24.59,25.57,25.57,153.6,32.026667,21.97
12/1998,19.87,23.01,24.45,25.2,25.2,191.0,32.577419,21.722581
1/1999,20.78,24.18,24.74,25.13,25.13,411.6,30.277419,21.03871
2/1999,23.91,25.71,25.81,25.64,25.64,260.8,30.232143,20.796429
3/1999,26.11,26.18,26.88,26.51,26.51,233.2,30.374194,20.612903
4/1999,26.98,24.66,26.95,26.97,26.97,421.2,30.546667,20.866667
5/1999,28.42,23.84,26.58,27.05,27.05,445.4,30.112903,20.935484
6/1999,29.23,22.41,25.81,26.7,26.7,149.3,31.17,20.983333
7/1999,29.02,21.78,25.11,26.36,26.36,25.3,31.693548,21.174194
8/1999,27.78,20.86,24.44,25.85,25.85,40.6,32.587097,21.590323
9/1999,24.79,19.84,24.07,25.88,25.88,98.8,32.976667,21.953333
10/1999,19.87,20.22,23.89,25.7,25.7,132.3,33.532258,22.025806
11/1999,17.45,20.51,23.8,25.34,25.34,203.5,33.016667,22.726667
12/1999,18.06,22.29,23.9,25.12,25.12,198.3,32.432258,22.670968
1/2000,20.45,23.8,24.23,25.0,25.0,350.2,30.825806,21.816129
2/2000,21.91,25.47,25.51,25.42,25.42,344.4,30.534483,21.644828
3/2000,23.38,25.83,26.81,26.35,26.35,340.7,30.406452,21.858065
4/2000,25.48,25.42,27.41,27.01,27.01,535.4,30.436667,21.49
5/2000,27.36,24.21,26.89,27.22,27.22,172.6,31.458065,22.287097
6/2000,28.43,22.72,26.06,27.07,27.07,48.2,32.543333,21.953333
7/2000,28.43,21.64,25.23,26.75,26.75,40.8,31.96129,21.848387
8/2000,27.35,20.31,24.68,26.43,26.43,140.0,32.983871,22.454839
9/2000,24.87,20.57,24.64,26.34,26.34,218.1,33.28,22.806667
10/2000,21.5,20.78,24.62,26.08,26.08,47.2,33.564516,22.922581
11/2000,19.83,20.84,24.57,26.02,26.02,169.7,33.846667,22.546667
12/2000,19.05,22.18,24.78,25.88,25.88,192.3,32.332258,22.283871
1/2001,20.63,24.15,25.4,25.98,25.98,348.4,29.929032,20.767742
2/2001,23.37,25.72,26.31,26.31,26.31,219.5,31.271429,22.132143
3/2001,25.03,26.73,27.32,26.96,26.96,216.8,31.66129,23.480645
4/2001,26.55,26.0,27.54,27.46,27.46,188.2,31.413333,23.49
5/2001,27.52,24.06,27.22,27.75,27.75,231.6,32.270968,24.012903
6/2001,28.11,22.75,26.5,27.66,27.66,164.1,30.463333,22.536667
7/2001,27.72,21.48,25.69,27.38,27.38,30.6,32.287097,23.077419
8/2001,26.06,20.3,24.99,26.88,26.88,14.9,34.525806,23.712903
9/2001,22.59,19.98,24.51,26.71,26.71,88.2,34.01,23.53
10/2001,18.65,20.13,24.64,26.7,26.7,28.1,35.367742,24.841935
11/2001,17.39,21.07,24.51,26.5,26.5,55.0,28.546667,24.436667
12/2001,18.68,22.12,24.7,26.28,26.28,213.0,31.541935,24.174194
1/2002,22.05,24.19,25.25,26.55,26.55,380.8,31.848387,23.651613
2/2002,22.72,26.35,26.19,26.85,26.85,239.9,31.103571,23.685714
3/2002,24.37,27.15,27.35,27.4,27.4,195.3,31.583871,23.648387
4/2002,26.11,26.09,27.67,27.97,27.97,376.7,31.31,23.713333
5/2002,27.6,25.14,27.59,28.35,28.35,262.9,31.048387,24.041935
6/2002,28.7,23.66,27.27,28.5,28.5,159.1,31.386667,23.426667
7/2002,28.68,21.93,26.35,28.09,28.09,3.4,32.680645,24.109677
8/2002,27.38,20.84,25.76,27.82,27.82,35.4,33.996774,24.103226
9/2002,24.8,20.88,25.82,27.86,27.86,60.1,34.81,24.446667
10/2002,19.69,21.56,25.98,28.01,28.01,216.1,33.170968,24.219355
11/2002,18.67,22.63,26.35,28.14,28.14,81.2,32.95,24.223333
12/2002,20.86,23.59,26.45,28.01,28.01,311.2,30.970968,24.206452
1/2003,22.12,24.62,26.43,27.44,27.44,105.8,32.006452,24.687097
2/2003,22.3,26.01,26.95,27.55,27.55,340.9,31.496429,24.203571
3/2003,23.21,26.61,27.5,27.79,27.79,209.2,31.196774,23.829032
4/2003,24.97,25.14,27.26,27.83,27.83,390.1,31.04,23.643333
5/2003,26.87,23.1,26.59,27.57,27.57,219.6,31.47,23.574194
6/2003,28.08,22.17,26.3,27.65,27.65,110.7,32.283333,23.67
7/2003,28.0,21.27,26.05,27.57,27.57,93.0,32.774194,23.470968
8/2003,26.92,21.03,25.46,27.18,27.18,118.3,33.112903,23.406452
9/2003,24.22,20.46,25.16,27.1,27.1,60.9,33.896667,23.746667
10/2003,20.18,21.25,25.46,27.26,27.26,96.9,34.222581,24.745161
11/2003,19.19,21.89,25.83,27.2,27.2,119.6,33.536667,24.2
12/2003,19.16,23.08,26.04,27.1,27.1,89.9,33.506667,24.219355
1/2004,20.91,24.75,26.2,26.95,26.95,179.6,32.122581,24.170968
2/2004,22.13,26.39,26.84,27.06,27.06,150.6,31.393103,23.662069
3/2004,22.82,25.88,27.45,27.45,27.45,424.2,30.954839,23.458065
4/2004,24.93,25.46,27.69,28.0,28.0,227.2,31.836667,23.59
5/2004,26.43,23.71,27.07,28.13,28.13,422.9,31.158065,23.641935
6/2004,27.05,22.55,26.54,27.93,27.93,120.2,31.72,23.113333
7/2004,26.48,21.11,25.98,27.9,27.9,59.6,32.609677,23.151613
8/2004,25.26,20.55,25.47,27.7,27.7,141.3,33.212903,23.303226
9/2004,22.81,20.7,25.41,27.65,27.65,112.0,33.47,23.616667
10/2004,20.3,21.31,25.57,27.57,27.57,66.0,33.629032,24.125806
11/2004,19.38,22.43,25.78,27.49,27.49,13.3,34.69,24.683333
12/2004,20.31,23.46,26.01,27.46,27.46,140.0,32.829032,23.580645
1/2005,21.51,24.86,26.18,27.39,27.39,165.7,33.196774,23.974194
2/2005,22.46,25.49,26.57,27.33,27.33,331.5,31.657143,23.821429
3/2005,24.93,25.72,27.44,27.89,27.89,334.0,31.196774,23.709677
4/2005,26.53,25.43,27.86,28.24,28.24,404.8,31.473333,23.836667
5/2005,27.79,24.28,27.65,28.41,28.41,225.5,32.248387,24.032258
6/2005,27.89,22.56,26.89,27.96,27.96,53.5,33.003333,23.973333
7/2005,26.62,21.67,26.03,27.22,27.22,52.4,32.945161,23.506452
8/2005,23.44,20.64,25.42,27.02,27.02,16.2,34.883871,24.0
9/2005,18.61,20.1,24.96,26.9,26.9,45.9,34.986667,24.07
10/2005,15.42,20.06,24.87,26.81,26.81,75.2,35.203226,24.548387
11/2005,17.1,20.81,24.3,26.34,26.34,211.6,33.746667,23.873333
12/2005,19.8,22.33,24.32,26.01,26.01,291.8,31.441935,23.432258
1/2006,22.38,24.54,25.03,25.91,25.91,173.3,32.335484,23.545161
2/2006,24.77,26.4,26.38,26.32,26.32,346.4,31.085714,23.439286
3/2006,26.19,26.43,27.06,26.83,26.83,265.3,31.535484,23.7
4/2006,26.8,24.68,27.44,27.67,27.67,252.1,31.193333,23.53
5/2006,28.03,24.18,27.35,27.96,27.96,382.1,30.674194,23.493548
6/2006,28.74,22.98,26.73,27.85,27.85,87.0,32.636667,23.243333
7/2006,27.82,22.05,25.87,27.42,27.42,71.6,33.141935,23.403226
8/2006,25.45,21.77,25.62,27.3,27.3,16.7,34.36129,23.793548
9/2006,21.32,21.71,25.85,27.45,27.45,32.8,35.153333,23.953333
10/2006,17.51,22.07,26.05,27.53,27.53,66.0,35.393548,24.909677
11/2006,17.66,22.47,26.33,27.79,27.79,294.0,32.526667,23.376667
12/2006,20.48,23.69,26.5,27.81,27.81,317.4,32.887097,23.632258
1/2007,22.35,25.34,26.65,27.44,27.44,414.4,30.7,23.270968
2/2007,23.45,26.38,26.66,27.09,27.09,137.7,33.228571,24.228571
3/2007,23.61,26.32,27.07,27.37,27.37,336.0,31.254839,23.067742
4/2007,25.19,24.9,27.23,27.7,27.7,343.1,31.3,23.663333
5/2007,27.1,23.28,26.67,27.71,27.71,165.3,31.883871,23.832258
6/2007,28.06,21.82,26.11,27.58,27.58,100.2,32.706667,23.286667
7/2007,27.78,21.24,25.21,27.0,27.0,121.9,33.006452,23.490323
8/2007,26.08,20.2,24.31,26.45,26.45,133.3,32.996774,23.206452
9/2007,21.78,20.08,24.01,26.01,26.01,71.7,33.513333,23.746667
10/2007,18.27,19.69,24.0,25.74,25.74,28.5,34.435484,24.36129
11/2007,18.6,20.19,23.99,25.58,25.58,226.2,33.91,24.32
12/2007,20.45,21.63,24.11,25.49,25.49,327.9,31.596774,23.193548
1/2008,22.75,24.31,24.55,25.21,25.21,397.4,30.629032,23.293548
2/2008,24.35,26.45,25.51,25.41,25.41,298.8,31.031034,23.141379
3/2008,25.72,26.87,26.69,26.27,26.27,553.0,30.435484,22.777419
4/2008,26.68,25.69,27.28,26.99,26.99,345.4,31.756667,23.353333
5/2008,27.55,24.46,27.09,27.25,27.25,264.1,30.651613,23.412903
6/2008,28.48,23.22,26.51,27.2,27.2,202.7,31.706667,23.076667
7/2008,28.04,22.81,26.04,27.05,27.05,80.2,33.558065,23.467742
8/2008,26.14,21.86,25.61,26.8,26.8,58.4,34.351613,23.912903
9/2008,22.2,21.43,25.34,26.63,26.63,56.0,33.29,23.88
10/2008,19.03,21.23,25.29,26.54,26.54,162.2,32.746667,23.776667
11/2008,19.0,21.66,25.14,26.42,26.42,280.8,32.413333,23.693333
12/2008,20.97,22.9,24.92,25.98,25.98,458.1,31.948387,23.470968
1/2009,23.53,24.71,25.32,25.8,25.8,310.8,30.625806,23.132258
2/2009,25.63,25.84,26.17,26.18,26.18,457.9,30.407143,23275
3/2009,26.8,26.1,26.9,26.96,26.96,232.5,31.077419,23.503226
4/2009,28.15,26.07,27.6,27.78,27.78,222.1,31.773333,23.896667
5/2009,28.99,24.89,27.63,28.16,28.16,114.0,30.983871,23.922581
6/2009,29.46,23.92,27.23,28.15,28.15,165.8,31.176667,23.96
7/2009,29.49,22.98,26.52,27.86,27.86,25.1,33.064516,24.229032
8/2009,27.97,21.74,26.0,27.51,27.51,5.4,34.741935,25.351613
9/2009,24.69,21.17,25.77,27.5,27.5,4.2,35.613333,25.47
10/2009,19.18,21.21,25.84,27.76,27.76,26.0,35.348387,25.587097
11/2009,17.18,21.92,26.15,28.11,28.11,132.3,35.373333,25.906667
12/2009,17.58,23.15,26.36,28.15,28.15,262.4,32.180645,24.822581
1/2010,21.14,24.75,26.64,27.97,27.97,295.8,31.951613,24.5
2/2010,22.49,26.35,27.32,28.0,28.0,352.5,31.821429,24.839286
3/2010,23.56,26.7,27.87,28.24,28.24,206.4,33.480645,25.090323
4/2010,25.23,26.04,28.03,28.35,28.35,303.4,31.503333,24.32
5/2010,27.35,24.79,27.35,27.97,27.97,165.1,32.306452,24.774194
6/2010,27.88,23.18,26.22,27.28,27.28,119.1,32.456667,24.266667
7/2010,27.09,21.22,25.12,26.52,26.52,100.6,32.374194,23.925806
8/2010,24.6,19.82,24.34,25.8,25.8,54.8,34.032258,24.358065
9/2010,20.89,19.6,24.02,25.45,25.45,26.6,35.266667,24.973333
10/2010,14.94,19.92,24.03,25.46,25.46,116.9,35.025806,24.567742
11/2010,14.77,20.53,24.04,25.46,25.46,140.6,33.406897,24.39
12/2010,17.68,22.24,24.3,25.37,25.37,290.1,32.403226,23.529032
1/2011,19.52,24.66,24.66,25.24,25.24,226.8,30.874194,23.545161
2/2011,21.77,26.29,25.86,25.82,25.82,493.3,30.814286,23.307143
3/2011,23.99,25.93,26.71,26.59,26.59,323.3,31.16129,23.974194
4/2011,25.77,25.45,27.42,27.29,27.29,515.9,30.993333,23.683333
5/2011,27.55,24.52,27.06,27.62,27.62,222.4,31.336667,24.674194
6/2011,28.53,23.49,26.65,27.6,27.6,121.3,32.666667,24.91
7/2011,28.22,22.08,25.74,27.1,27.1,20.2,33.325806,24.941935
8/2011,26.3,20.69,24.91,26.44,26.44,64.3,34.796774,25.267742
9/2011,20.88,20.1,24.5,26.08,26.08,41.5,34.47,24.876667
10/2011,17.22,20.42,24.23,25.97,25.97,283.7,33.596774,24.964516
11/2011,17.57,21.05,24.32,25.86,25.86,272.8,32.81,24.783333
12/2011,19.2,22.04,24.61,25.87,25.87,194.5,32.683871,24.741935
1/2012,22.3,24.13,25.38,25.93,25.93,365.2,31.112903,23.890323
2/2012,25.15,26.32,26.41,26.28,26.28,288.7,30.693103,23.906897
3/2012,27.01,26.66,27.29,26.92,26.92,277.4,30.893548,23.932258
4/2012,28.46,26.21,27.68,27.4,27.4,195.6,31.623333,24.62
5/2012,29.71,25.45,27.39,27.64,27.64,167.8,31.977419,24.648387
6/2012,29.65,24.39,26.89,27.63,27.63,85.4,32.54,24.773333
7/2012,28.67,22.51,26.34,27.46,27.46,83.0,32.509677,24.496774
8/2012,26.77,21.53,25.71,27.25,27.25,26.6,34.045161,25.106452
9/2012,22.02,21.31,25.57,27.37,27.37,90.3,34.553333,25.11
10/2012,17.43,20.97,25.33,27.28,27.28,181.3,34.393548,25.593548
11/2012,16.6,21.31,25.28,27.1,27.1,284.5,34.116667,25.786667
12/2012,17.48,22.4,24.9,26.45,26.45,266.2,31.63871,24.406452
1/2013,20.79,24.47,25.11,26.15,26.15,314.6,32.325806,24.816129
2/2013,23.36,25.94,26.03,26.39,26.39,342.1,31.178571,24.132143
3/2013,26.03,26.07,27.08,26.96,26.96,427.4,31.287097,24.477419
4/2013,27.41,24.63,27.43,27.7,27.7,420.6,31.913333,24.883333
5/2013,28.62,23.45,26.88,27.83,27.83,238.4,31.932258,24.564516
6/2013,29.27,21.65,26.01,27.49,27.49,32.3,33.063333,25.483333
7/2013,28.6,20.63,25.35,27.1,27.1,167.1,32.183871,24.254839
8/2013,26.93,20.31,24.76,26.79,26.79,53.0,33.145161,24.970968
9/2013,24.62,20.28,24.75,26.71,26.71,121.0,33.91,25.38
10/2013,20.92,20.6,24.97,26.67,26.67,193.0,34.287097,25.619355
11/2013,19.8,21.58,25.06,26.63,26.63,312.2,32.406667,24.453333
12/2013,21.6,22.83,25.26,26.52,26.52,101.3,33.245161,25.525806
1/2014,22.75,24.71,25.43,26.12,26.12,253.3,31.880645,24.996774
2/2014,23.96,25.74,25.98,26.16,26.16,245.4,31.046429,24.228571
3/2014,25.62,26.26,27.09,26.89,26.89,527.7,31.16129,24.403226
4/2014,27.4,25.56,27.65,27.71,27.71,255.0,31.96,24.883333
5/2014,28.73,25.16,27.67,28.01,28.01,411.3,31.493548,24.845161
6/2014,29.45,24.32,27.11,27.68,27.68,211.7,32.336667,25.183333
7/2014,29.41,23.12,26.3,27.28,27.28,66.1,32.470968,24.658065
8/2014,28.19,22.03,25.41,26.9,26.9,32.2,33.996774,25.325806
9/2014,25.18,21.47,25.36,27.03,27.03,0.6,35.953333,26.25
10/2014,21.19,21.66,25.72,27.25,27.25,190.9,33.112903,24.741935
11/2014,20.19,22.39,26.03,27.52,27.52,196.0,32.973333,25.68
12/2014,21.26,23.36,26.07,27.4,27.4,173.8,32.851613,25.735484
